ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
PC3235,SL1,LECTURE,4,Thursday,800,1000,S16-0436,2013/2014,1
ES2007S,5,SECTIONAL TEACHING,5,Friday,1000,1200,S16-0436,2013/2014,1
ES1000,S4,SECTIONAL TEACHING,1,Monday,1000,1200,S16-0437,2013/2014,1
SP1203,ST3,TUTORIAL,2,Tuesday,800,1000,S16-0437,2013/2014,1
ES1102,S12,SECTIONAL TEACHING,2,Tuesday,1000,1200,S16-0437,2013/2014,1
ES2007S,7,SECTIONAL TEACHING,2,Tuesday,1200,1400,S16-0437,2013/2014,1
BL5198,SL1,SEMINAR-STYLE MODULE CLASS,3,Wednesday,1400,1800,S16-0437,2013/2014,1
ES1000,S4,SECTIONAL TEACHING,4,Thursday,1000,1200,S16-0437,2013/2014,1
SP1203,ST3,TUTORIAL,5,Friday,800,1000,S16-0437,2013/2014,1
ES1102,S12,SECTIONAL TEACHING,5,Friday,1000,1200,S16-0437,2013/2014,1
ES2007S,7,SECTIONAL TEACHING,5,Friday,1200,1400,S16-0437,2013/2014,1
ES2007S,3,SECTIONAL TEACHING,1,Monday,1200,1400,S16-0440,2013/2014,1
ES2007S,4,SECTIONAL TEACHING,1,Monday,1400,1600,S16-0440,2013/2014,1
SP1203,ST10,TUTORIAL,2,Tuesday,800,1000,S16-0440,2013/2014,1
SP1203,ST5,TUTORIAL,2,Tuesday,1000,1200,S16-0440,2013/2014,1
ES2007S,8,SECTIONAL TEACHING,2,Tuesday,1200,1400,S16-0440,2013/2014,1
GEM1903,ST1,TUTORIAL,4,Thursday,1400,1600,S16-0440,2013/2014,1
GEM1903,ST2,TUTORIAL,4,Thursday,1600,1800,S16-0440,2013/2014,1
SP1203,ST10,TUTORIAL,5,Friday,800,1000,S16-0440,2013/2014,1
SP1203,ST5,TUTORIAL,5,Friday,1000,1200,S16-0440,2013/2014,1
ES2007S,8,SECTIONAL TEACHING,5,Friday,1200,1400,S16-0440,2013/2014,1
ST1131,T1,TUTORIAL,1,Monday,1300,1400,S16-05101,2013/2014,1
ST1131,T1,TUTORIAL,1,Monday,1400,1500,S16-05101,2013/2014,1
